Attribute names:	P0	P1	P2
Minor allele frequencies:	0.200	0.200	0.200
x: 6.71371764041306e-9
y: 22.0235782569381
Prevalence: 0.000167340157314579
Heritability: 0.400000000000000

Table:

6.71371764041306E-9, 1.54573803489036E-7, 0.00000355884206110239
1.54573803489036E-7, 0.00000355884206110239, 0.0000819372786978739
0.00000355884206110239, 0.0000819372786978739, 0.00188648934826105

1.54573803489036E-7, 0.00000355884206110239, 0.0000819372786978739
0.00000355884206110239, 0.0000819372786978739, 0.00188648934826105
0.0000819372786978739, 0.00188648934826105, 0.0434337351405684

0.00000355884206110239, 0.0000819372786978739, 0.00188648934826105
0.0000819372786978739, 0.00188648934826105, 0.0434337351405684
0.00188648934826105, 0.0434337351405684, 1.00000000000000
 
