Attribute names:	P0	P1	P2	P3
Minor allele frequencies:	0.100	0.100	0.100	0.100
x: 1.23663213911942e-15
y: 72.0247256182819
Prevalence: 2.53395454259035e-8
Heritability: 0.400000000000000

Table:

1.23663213911942E-15, 9.03047226499447E-14, 6.59447759354726E-12
9.03047226499447E-14, 6.59447759354726E-12, 4.81559916864697E-10
6.59447759354726E-12, 4.81559916864697E-10, 3.51657807978071E-8

9.03047226499447E-14, 6.59447759354726E-12, 4.81559916864697E-10
6.59447759354726E-12, 4.81559916864697E-10, 3.51657807978071E-8
4.81559916864697E-10, 3.51657807978071E-8, 0.00000256797149391251

6.59447759354726E-12, 4.81559916864697E-10, 3.51657807978071E-8
4.81559916864697E-10, 3.51657807978071E-8, 0.00000256797149391251
3.51657807978071E-8, 0.00000256797149391251, 0.000187525413738531

9.03047226499447E-14, 6.59447759354726E-12, 4.81559916864697E-10
6.59447759354726E-12, 4.81559916864697E-10, 3.51657807978071E-8
4.81559916864697E-10, 3.51657807978071E-8, 0.00000256797149391251

6.59447759354726E-12, 4.81559916864697E-10, 3.51657807978071E-8
4.81559916864697E-10, 3.51657807978071E-8, 0.00000256797149391251
3.51657807978071E-8, 0.00000256797149391251, 0.000187525413738531

4.81559916864697E-10, 3.51657807978071E-8, 0.00000256797149391251
3.51657807978071E-8, 0.00000256797149391251, 0.000187525413738531
0.00000256797149391251, 0.000187525413738531, 0.0136939918847110

6.59447759354726E-12, 4.81559916864697E-10, 3.51657807978071E-8
4.81559916864697E-10, 3.51657807978071E-8, 0.00000256797149391251
3.51657807978071E-8, 0.00000256797149391251, 0.000187525413738531

4.81559916864697E-10, 3.51657807978071E-8, 0.00000256797149391251
3.51657807978071E-8, 0.00000256797149391251, 0.000187525413738531
0.00000256797149391251, 0.000187525413738531, 0.0136939918847110

3.51657807978071E-8, 0.00000256797149391251, 0.000187525413738531
0.00000256797149391251, 0.000187525413738531, 0.0136939918847110
0.000187525413738531, 0.0136939918847110, 1.00000000000000
 
