Attribute names:	P0	P1	P2
Minor allele frequencies:	0.500	0.500	0.500
x: 5.79656975766009e-5
y: 4.08321121378090
Prevalence: 0.0458974404743035
Heritability: 0.400000000000000

Table:

0.0000579656975766009, 0.000294651883936010, 0.00149777776058520
0.000294651883936010, 0.00149777776058520, 0.00761352070835831
0.00149777776058520, 0.00761352070835831, 0.0387011338410801

0.000294651883936010, 0.00149777776058520, 0.00761352070835831
0.00149777776058520, 0.00761352070835831, 0.0387011338410801
0.00761352070835831, 0.0387011338410801, 0.196726037527014

0.00149777776058520, 0.00761352070835831, 0.0387011338410801
0.00761352070835831, 0.0387011338410801, 0.196726037527014
0.0387011338410801, 0.196726037527014, 1.00000000000000
 
