Attribute names:	P0	P1	P2	P3
Minor allele frequencies:	0.500	0.500	0.500	0.500
x: 0.847155727104860
y: 0.0209502824034675
Prevalence: 0.920806384976579
Heritability: 0.0100000000000000

Table:

0.847155727104860, 0.864903878827422, 0.883023859340711
0.864903878827422, 0.883023859340711, 0.901523458562898
0.883023859340711, 0.901523458562898, 0.920410629613142

0.864903878827422, 0.883023859340711, 0.901523458562898
0.883023859340711, 0.901523458562898, 0.920410629613142
0.901523458562898, 0.920410629613142, 0.939693492230691

0.883023859340711, 0.901523458562898, 0.920410629613142
0.901523458562898, 0.920410629613142, 0.939693492230691
0.920410629613142, 0.939693492230691, 0.959380336265624

0.864903878827422, 0.883023859340711, 0.901523458562898
0.883023859340711, 0.901523458562898, 0.920410629613142
0.901523458562898, 0.920410629613142, 0.939693492230691

0.883023859340711, 0.901523458562898, 0.920410629613142
0.901523458562898, 0.920410629613142, 0.939693492230691
0.920410629613142, 0.939693492230691, 0.959380336265624

0.901523458562898, 0.920410629613142, 0.939693492230691
0.920410629613142, 0.939693492230691, 0.959380336265624
0.939693492230691, 0.959380336265624, 0.979479625242722

0.883023859340711, 0.901523458562898, 0.920410629613142
0.901523458562898, 0.920410629613142, 0.939693492230691
0.920410629613142, 0.939693492230691, 0.959380336265624

0.901523458562898, 0.920410629613142, 0.939693492230691
0.920410629613142, 0.939693492230691, 0.959380336265624
0.939693492230691, 0.959380336265624, 0.979479625242722

0.920410629613142, 0.939693492230691, 0.959380336265624
0.939693492230691, 0.959380336265624, 0.979479625242722
0.959380336265624, 0.979479625242722, 1.00000000000000
 
