Attribute names:	P0	P1	P2	P3
Minor allele frequencies:	0.500	0.500	0.500	0.500
x: 0.374282524262660
y: 0.130706936103751
Prevalence: 0.621082570304542
Heritability: 0.0500000000000000

Table:

0.374282524262660, 0.423203846246210, 0.478519524336375
0.423203846246210, 0.478519524336375, 0.541065345228207
0.478519524336375, 0.541065345228207, 0.611786338734905

0.423203846246210, 0.478519524336375, 0.541065345228207
0.478519524336375, 0.541065345228207, 0.611786338734905
0.541065345228207, 0.611786338734905, 0.691751056621076

0.478519524336375, 0.541065345228207, 0.611786338734905
0.541065345228207, 0.611786338734905, 0.691751056621076
0.611786338734905, 0.691751056621076, 0.782167717778550

0.423203846246210, 0.478519524336375, 0.541065345228207
0.478519524336375, 0.541065345228207, 0.611786338734905
0.541065345228207, 0.611786338734905, 0.691751056621076

0.478519524336375, 0.541065345228207, 0.611786338734905
0.541065345228207, 0.611786338734905, 0.691751056621076
0.611786338734905, 0.691751056621076, 0.782167717778550

0.541065345228207, 0.611786338734905, 0.691751056621076
0.611786338734905, 0.691751056621076, 0.782167717778550
0.691751056621076, 0.782167717778550, 0.884402463688648

0.478519524336375, 0.541065345228207, 0.611786338734905
0.541065345228207, 0.611786338734905, 0.691751056621076
0.611786338734905, 0.691751056621076, 0.782167717778550

0.541065345228207, 0.611786338734905, 0.691751056621076
0.611786338734905, 0.691751056621076, 0.782167717778550
0.691751056621076, 0.782167717778550, 0.884402463688648

0.611786338734905, 0.691751056621076, 0.782167717778550
0.691751056621076, 0.782167717778550, 0.884402463688648
0.782167717778550, 0.884402463688648, 1.00000000000000
 
