Attribute names:	P0	P1	P2
Minor allele frequencies:	0.100	0.100	0.100
x: 0.462464925571302
y: 0.137156399969902
Prevalence: 0.501852026818914
Heritability: 0.0100000000000000

Table:

0.462464925571302, 0.525894949875011, 0.598024807962219
0.525894949875011, 0.598024807962219, 0.680047737715009
0.598024807962219, 0.680047737715009, 0.773320637227676

0.525894949875011, 0.598024807962219, 0.680047737715009
0.598024807962219, 0.680047737715009, 0.773320637227676
0.680047737715009, 0.773320637227676, 0.879386511852255

0.598024807962219, 0.680047737715009, 0.773320637227676
0.680047737715009, 0.773320637227676, 0.879386511852255
0.773320637227676, 0.879386511852255, 1.00000000000000
 
