Attribute names:	P0	P1	P2	P3
Minor allele frequencies:	0.200	0.200	0.200	0.200
x: 1.70901702643935e-10
y: 15.6305534086482
Prevalence: 1.43573199426350e-5
Heritability: 0.200000000000000

Table:

1.70901702643935E-10, 2.84218989344888E-9, 4.72671908205217E-8
2.84218989344888E-9, 4.72671908205217E-8, 7.86079541417454E-7
4.72671908205217E-8, 7.86079541417454E-7, 0.0000130729377969887

2.84218989344888E-9, 4.72671908205217E-8, 7.86079541417454E-7
4.72671908205217E-8, 7.86079541417454E-7, 0.0000130729377969887
7.86079541417454E-7, 0.0000130729377969887, 0.000217410190240756

4.72671908205217E-8, 7.86079541417454E-7, 0.0000130729377969887
7.86079541417454E-7, 0.0000130729377969887, 0.000217410190240756
0.0000130729377969887, 0.000217410190240756, 0.00361565178038326

2.84218989344888E-9, 4.72671908205217E-8, 7.86079541417454E-7
4.72671908205217E-8, 7.86079541417454E-7, 0.0000130729377969887
7.86079541417454E-7, 0.0000130729377969887, 0.000217410190240756

4.72671908205217E-8, 7.86079541417454E-7, 0.0000130729377969887
7.86079541417454E-7, 0.0000130729377969887, 0.000217410190240756
0.0000130729377969887, 0.000217410190240756, 0.00361565178038326

7.86079541417454E-7, 0.0000130729377969887, 0.000217410190240756
0.0000130729377969887, 0.000217410190240756, 0.00361565178038326
0.000217410190240756, 0.00361565178038326, 0.0601302900407379

4.72671908205217E-8, 7.86079541417454E-7, 0.0000130729377969887
7.86079541417454E-7, 0.0000130729377969887, 0.000217410190240756
0.0000130729377969887, 0.000217410190240756, 0.00361565178038326

7.86079541417454E-7, 0.0000130729377969887, 0.000217410190240756
0.0000130729377969887, 0.000217410190240756, 0.00361565178038326
0.000217410190240756, 0.00361565178038326, 0.0601302900407379

0.0000130729377969887, 0.000217410190240756, 0.00361565178038326
0.000217410190240756, 0.00361565178038326, 0.0601302900407379
0.00361565178038326, 0.0601302900407379, 1.00000000000000
 
