Attribute names:	P0	P1	P2
Minor allele frequencies:	0.500	0.500	0.500
x: 0.884182732331650
y: 0.0207271387936107
Prevalence: 0.940606769733196
Heritability: 0.0100000000000000

Table:

0.884182732331650, 0.902509310543602, 0.921215746285765
0.902509310543602, 0.921215746285765, 0.940309912917890
0.921215746285765, 0.940309912917890, 0.959799846991947

0.902509310543602, 0.921215746285765, 0.940309912917890
0.921215746285765, 0.940309912917890, 0.959799846991947
0.940309912917890, 0.959799846991947, 0.979693751634636

0.921215746285765, 0.940309912917890, 0.959799846991947
0.940309912917890, 0.959799846991947, 0.979693751634636
0.959799846991947, 0.979693751634636, 1.00000000000000
 
