Attribute names:	P0	P1	P2
Minor allele frequencies:	0.200	0.200	0.200
x: 4.23178528311685e-7
y: 10.5410696685405
Prevalence: 0.000381583020876870
Heritability: 0.200000000000000

Table:

4.23178528311685E-7, 0.00000488393287747562, 0.0000563658095954218
0.00000488393287747562, 0.0000563658095954218, 0.000650521735464454
0.0000563658095954218, 0.000650521735464454, 0.00750771666989517

0.00000488393287747562, 0.0000563658095954218, 0.000650521735464454
0.0000563658095954218, 0.000650521735464454, 0.00750771666989517
0.000650521735464454, 0.00750771666989517, 0.0866470811389234

0.0000563658095954218, 0.000650521735464454, 0.00750771666989517
0.000650521735464454, 0.00750771666989517, 0.0866470811389234
0.00750771666989517, 0.0866470811389234, 1.00000000000000
 
